contract,method,totalExecutionTime
compute,InitContract,0.000000
compute,Upgrade,0.000000
compute,bigNumCal,2.130720
compute,hashCal,0.681021
compute,normalCal,1.049756
erc721,InitContract,0.000000
erc721,Upgrade,0.000000
erc721,approve,0.000000
erc721,balanceOf,0.342486
erc721,getAccountTokens,0.000000
erc721,getApproved,0.353078
erc721,getGasRemaining,0.374439
erc721,getTokenLatestTxInfo,0.000000
erc721,mint,0.358488
erc721,mint2,0.332727
erc721,name,0.000000
erc721,ownerOf,0.000000
erc721,setApprovalForAll2,0.318437
erc721,symbol,0.000000
erc721,testgasJSONMarshal,0.337499
erc721,testgasJSONUnmarshal,0.317456
erc721,tokenMetadata,0.000000
erc721,tokenURI,0.322912
erc721,transferFrom,0.359307
exchange,InitContract,0.000000
exchange,Upgrade,0.000000
exchange,buyNow,0.000000
fact,findByFileHash,0.350111
fact,initContract,0.000000
fact,save,0.000000
fact,saveAndFindByFileHash,0.334119
fact,upgrade,0.322639
identity,InitContract,0.000000
identity,Upgrade,0.000000
identity,addWriteList,0.528231
identity,address,0.000000
identity,alterAdminAddress,0.000000
identity,callerAddress,0.000000
identity,isApprovedUser,0.579967
identity,removeWriteList,0.353343
itinerary,InitContract,0.000000
itinerary,Upgrade,0.000000
itinerary,queryHistory,0.000000
itinerary,save,0.000000
itinerary,saveAndQueryHistory,0.000000
raffle,Errorf,0.000000
raffle,InitContract,0.000000
raffle,ParseInt,0.000000
raffle,Sprintf,0.000000
raffle,Upgrade,0.000000
raffle,bigNumCal,0.330562
raffle,formatInt,0.343588
raffle,hashCal,0.591365
raffle,jsonMarshal,3.045538
raffle,jsonUnmarshal,0.342930
raffle,nolib,0.412070
raffle,normalCal,0.360426
raffle,query,0.375454
raffle,raffle,0.000000
raffle,registRaffle,0.364845
raffle,registerAll,0.000000
raffle,stringsJoin,0.405297
raffle,testgasWarmUp,0.721047
